company_code,year,quarter,total_assets,total_liabilities,equity,shares_outstanding,revenue,net_profit,bvps,roa,roe,eps,pe,sector_kind,symbol,gross_profit
458,2026,2,1254072166689.0,642927459874.0,611144706815.0,52665200.0,1399503157719.0,488272872452.0,11604.0,38.935,79.8948,9271.2621,3.4558,general,TTL,661881776682.0
549,2022,2,54416500000.0,20951705400.0,33464794600.0,200000000.0,21125042300.0,0.0,167.0,0.0,0.0,0.0,0.0,general,TUM,3734310100.0
549,2022,4,52423507900.0,15530905700.0,36892602200.0,200000000.0,45955857800.0,7162444700.0,184.0,13.6627,19.4143,35.8122,9.786,general,TUM,13730788800.0
549,2023,2,65771852051.0,25261662891.0,40510189159.0,200000000.0,29691906102.0,5757586963.0,203.0,8.7539,14.2127,28.7879,11.6354,general,TUM,9696634565.0
549,2023,4,68310904592.0,22149552530.0,46161352062.0,200000000.0,62772265003.0,11408763702.0,231.0,16.7012,24.715,57.0438,5.7954,general,TUM,21090663634.0
549,2024,2,82870411083.0,31789363508.0,51081047576.0,200000000.0,38626568209.0,8338039399.0,255.0,10.0615,16.3232,41.6902,7.9342,general,TUM,13870564310.0
549,2024,4,92142087081.0,37288686532.0,54853400549.0,200000000.0,83387790242.0,17193892194.0,274.0,18.6602,31.3452,85.9695,4.4938,general,TUM,28380528373.0
549,2025,2,104738416323.0,42428541972.0,62309874352.0,200000000.0,35052159923.0,5659153115.0,312.0,5.4031,9.0823,28.2958,12.546,general,TUM,11776807536.0
549,2025,4,119983452766.0,51419263524.0,68950055343.0,200000000.0,97587097408.0,14244219737.0,345.0,11.8718,20.6588,71.2211,5.1646,general,TUM,30030247510.0
549,2026,2,125184244406.0,50030218326.0,75154026080.0,200000000.0,68026674612.0,10917821072.0,376.0,8.7214,14.5273,54.5891,6.8832,general,TUM,20786410716.0
568,2022,4,3930780303400.0,3455092643600.0,475687659800.0,1052700000.0,375306477600.0,105838586200.0,452.0,2.6926,22.2496,100.5401,,bank,XAC,
568,2023,2,4251043903977.0,3709556869524.0,541487034453.0,1052700000.0,240360178377.0,62181793791.0,514.0,1.4627,11.4835,59.0689,10.8287,bank,XAC,
568,2023,3,0.0,0.0,0.0,1052700000.0,383041877670.0,0.0,0.0,,,0.0,0.0,bank,XAC,
568,2023,4,5119421640821.0,4497358903307.0,622062737514.0,1052700000.0,534681934898.0,142058644862.0,591.0,2.7749,22.8367,134.9469,4.6609,bank,XAC,
568,2024,1,0.0,0.0,0.0,1052700000.0,338301768519.0,0.0,0.0,,,0.0,0.0,bank,XAC,
568,2024,2,5629647110137.0,4965162261845.0,664484848292.0,1052700000.0,338301768519.0,85280721082.0,631.0,1.5149,12.8341,81.0114,8.7294,bank,XAC,
568,2024,3,0.0,0.0,0.0,1052700000.0,522057261044.0,0.0,0.0,,,0.0,0.0,bank,XAC,
568,2024,4,6321793719051.0,5590190964290.0,731602754761.0,1052700000.0,709149105871.0,171680288381.0,695.0,2.7157,23.4663,163.0857,5.0648,bank,XAC,
568,2025,1,0.0,0.0,0.0,1052700000.0,197176303330.0,0.0,0.0,,,0.0,0.0,bank,XAC,
568,2025,2,6754851207755.0,5966632260865.0,788218946890.0,1052700000.0,406040128171.0,85941993866.0,749.0,1.2723,10.9033,81.6396,10.4101,bank,XAC,
568,2025,3,0.0,0.0,0.0,1052700000.0,622367681926.0,0.0,0.0,,,0.0,0.0,bank,XAC,
568,2025,4,6861892677597.0,6006962968851.0,854929708746.0,1052700000.0,846535859928.0,172596184257.0,812.0,2.5153,20.1883,163.9557,5.8788,bank,XAC,
568,2026,2,7508104489001.0,6596839531532.0,911264957469.0,1052700000.0,449476374754.0,88235493585.0,866.0,1.1752,9.6827,83.8183,15.0922,bank,XAC,
